kind,implementation,memory,size,offset,cycles,iterations
scan,word,sram,16,0,120840,512
scan,word_unaligned,sram,16,0,116744,512
scan,mve,sram,16,0,71688,512
scan,byte,sram,16,1,360456,512
scan,word,sram,16,1,172040,512
scan,word_unaligned,sram,16,1,120840,512
scan,mve,sram,16,1,90120,512
scan,byte,sram,16,3,360456,512
scan,word,sram,16,3,172040,512
scan,word_unaligned,sram,16,3,120840,512
scan,mve,sram,16,3,90120,512
scan,byte,sram,16,15,360456,512
scan,word,sram,16,15,172040,512
scan,word_unaligned,sram,16,15,120840,512
scan,mve,sram,16,15,90120,512
scan,byte,sram,24,0,524296,512
scan,word,sram,24,0,161800,512
scan,word_unaligned,sram,24,0,157704,512
scan,mve,sram,24,0,96264,512
scan,byte,sram,24,1,524296,512
scan,word,sram,24,1,213000,512
scan,word_unaligned,sram,24,1,163848,512
scan,mve,sram,24,1,131080,512
scan,byte,sram,24,3,524296,512
scan,word,sram,24,3,213000,512
scan,word_unaligned,sram,24,3,163848,512
scan,mve,sram,24,3,131080,512
scan,byte,sram,24,15,524296,512
scan,word,sram,24,15,213000,512
scan,word_unaligned,sram,24,15,163848,512
scan,mve,sram,24,15,133128,512
scan,byte,sram,32,0,688136,512
scan,word,sram,32,0,202760,512
scan,word_unaligned,sram,32,0,198664,512
scan,mve,sram,32,0,110600,512
scan,byte,sram,32,1,688136,512
scan,word,sram,32,1,253960,512
scan,word_unaligned,sram,32,1,206856,512
scan,mve,sram,32,1,147464,512
scan,byte,sram,32,3,688136,512
scan,word,sram,32,3,253960,512
scan,word_unaligned,sram,32,3,206856,512
scan,mve,sram,32,3,147464,512
scan,byte,sram,32,15,688136,512
scan,word,sram,32,15,253960,512
scan,word_unaligned,sram,32,15,206856,512
scan,mve,sram,32,15,147464,512
scan,byte,sram,48,0,1015816,512
scan,word,sram,48,0,284680,512
scan,word_unaligned,sram,48,0,280584,512
scan,mve,sram,48,0,149512,512
scan,byte,sram,48,1,1015816,512
scan,word,sram,48,1,335880,512
scan,word_unaligned,sram,48,1,292872,512
scan,mve,sram,48,1,204808,512
scan,byte,sram,48,3,1015816,512
scan,word,sram,48,3,335880,512
scan,word_unaligned,sram,48,3,292872,512
scan,mve,sram,48,3,204808,512
scan,byte,sram,48,15,1015816,512
scan,word,sram,48,15,335880,512
scan,word_unaligned,sram,48,15,292872,512
scan,mve,sram,48,15,204808,512
scan,byte,sram,64,0,1343496,512
scan,word,sram,64,0,366600,512
scan,word_unaligned,sram,64,0,362504,512
scan,mve,sram,64,0,188424,512
scan,byte,sram,64,1,1343496,512
scan,word,sram,64,1,417800,512
scan,word_unaligned,sram,64,1,378888,512
scan,mve,sram,64,1,262152,512
scan,byte,sram,64,3,1343496,512
scan,word,sram,64,3,417800,512
